==COMPLETE LIST OF ISCN(2024) EXAMPLES==

'''This file contains all of the ISCN(2024) examples from the cytogenetics and in situ hybridization chapters.  The Example Numbers in parentheses are for reference to this file and are not published in the ISCN.  The markup for underlining (<u></u>) has been retained and should not be used in the ISCN string.  Section numbers have been intercalated for easier location in the ISCN text.  For most efficient searching, pipe multiple instances of grep to identify the examples with particular patterns of interest.  For example, grep 'der' | grep 'ins' finds all examples of derivative chromosomes involving an insertion.'''


(Ex.1)	inv(Y)(p11.2q11.2)pat
(Ex.113)	46,XX.ish del(15)(pter-->q11.2::q12-->qter)(D15S11+,SNRPN-,D15S10-,GABRB3+)
(Ex.114)	nuc ish (KMT2A)x2(5'KMT2A sep 3'KMT2A)x1[200]
(Ex.115)	ogm[GRCh38] der(2)(pter_p24.1::p12_p11.2::p24.1_p12::p11.2_qter)(pter_19,795,841~19,799,854::80,780,708_87,576,955::19,795,841~19,799,854_80,780,709::87,576,956_qter).
4.7.2
(Ex.116)	arr[GRCh38] 22q11.21(18889117x2,18929329_21111370x1,21116218x2)
(Ex.117)	ogm[GRCh38] 22q11.21(18855621x2,18858640_21290760x1,21294586x2)
(Ex.118)	seq[GRCh38] 10p15.3(46696_1737263x1,3067438x2)dn
5.2
(Ex.119)	46,XX
(Ex.120)	46,XY
(Ex.121)	46,U
5.3.1.1
(Ex.122)	45,X
(Ex.123)	47,XXX
(Ex.124)	47,XYY
(Ex.125)	48,XXXY
(Ex.126)	45,X[13]/46,XY[17]
(Ex.127)	mos 47,XXY[10]/46,XY[20]
(Ex.128)	47,XXY[15]/45,X[15]
(Ex.129)	45,X[25]/47,XXX[12]/46,XX[13]
(Ex.130)	47,XXX[25]/45,X[12]/46,XX[13]
5.3.1.2
(Ex.131)	46,Xc,+X[10]
(Ex.132)	45,X,-X[8]
(Ex.133)	44,Xc,-X[10]
(Ex.134)	45,X,-Y[20]/46,XY[5]
(Ex.135)	45,Y,-X[10]
(Ex.136)	47,XX,+X[10]
(Ex.137)	48,XY,+X,+Y[15]
(Ex.138)	48,XXYc,+X[5]
(Ex.139)	46,XXYc,-X[20]
(Ex.140)	47,XXX?c[10]
(Ex.141)	46,Xc,+21[15]
(Ex.142)	48,XY,+X,+marc[6]
5.3.2
(Ex.143)	47,XX,+21
(Ex.144)	48,XX,+13,+21
(Ex.145)	45,XX,-22
(Ex.146)	46,XX,+8,-21
(Ex.147)	48,XY,+21c,+21[10]
(Ex.148)	46,XY,+21c,-21[10]
(Ex.149)	47,XY,+8[15]/46,XY[5]
5.4.1
(Ex.150)	46,XX,inv(3)(q21q26.2)[15]
(Ex.151)	46,Y,t(X;8)(p22.3;q24.1)
(Ex.152)	45,XX,dic(13;15)(q22;q24)
(Ex.153)	46,XY,der(1)t(1;3)(p22;q13.1)
(Ex.154)	46,XX,der(1)ins(1;?)(p22;?)
(Ex.155)	46,XY,-10,+der(17)t(10;17)(q22;p12)
5.4.2
(Ex.156)	46,XX,inv(9)(p23q22),der(11)(11pter-->11q12::5q11.2-->5q23::8q24.1-->8qter)
5.4.2.2
(Ex.157)	46,XY,der(5)(qter-->q13::q10-->q13::p15-->p13)[20]
(Ex.158)	46,XX,der(8)(10qter-->10q11.2::7q11.2-->7q32::8p21-->8q22::3p12-->3pter)
(Ex.159)	46,XX,t(2;5)(q21;q31)
(Ex.160)	46,XX,der(5)t(2;5)dmat
5.4.3.2
(Ex.161)	46,XX,rec(2)dup(2p)inv(2)(p21q31)dmat
(Ex.162)	46,XX,rec(2)dup(2q)inv(2)(p21q31)dmat
5.5.1
(Ex.163)	46,XX,add(19)(p13.3) or 46,XX,add(19)(?::p13.3-->qter)
(Ex.164)	46,XY,add(12)(q13) or 46,XY,add(12)(pter-->q13::?)
(Ex.165)	46,XX,der(5)add(5)(p15.3)add(5)(q23) or 46,XX,der(5)(?::p15.3-->q23::?)
(Ex.166)	46,XX,der(5)ins(5;?)(q13;?) or 46,XX,der(5)(pter-->q13::?::q13-->qter)
5.5.2
(Ex.167)	46,XX,del(5)(q13) or 46,XX,del(5)(pter-->q13:)
(Ex.168)	46,XX,del(4)(p15.2) or 46,XX,del(4)(:p15.2-->qter)
(Ex.169)	46,XX,del(5)(q13q33)[20] or 46,XX,del(5)(pter-->q13::q33-->qter)[20]
(Ex.170)	46,XX,del(5)(q13q13) or 46,XX,del(5)(pter-->q13::q13-->qter)
(Ex.171)	46,XY,del(5)(q?)[20]
(Ex.172)	46,Y,del(X)(p21p11.4)
(Ex.173)	46,XY,del(20)(q11.2-13.1q13.3)
5.5.3
(Ex.174)	46,XY,der(9)del(9)(p12)del(9)(q31) or 46,XY,der(9)(:p12-->q31:)
(Ex.175)	46,XY,der(9)inv(9)(p23p13)del(9)(q22q33) or 46,XY,der(9)(pter-->p23::p13-->p23::p13-->q22::q33-->qter)
(Ex.176)	46,Y,der(X)t(X;8)(p22.3;q24.1) or 46,Y,der(X)(8qter-->8q24.1::Xp22.3-->Xqter)
(Ex.177)	46,XX,der(1)t(1;3)(p22;q13.1) or 46,XX,der(1)(3qter-->3q13.1::1p22-->1qter)
(Ex.178)	45,XY,der(1)t(1;3)(p22;q13.1),-3
