==COMPLETE LIST OF ISCN(2024) EXAMPLES==

'''This file contains all of the ISCN(2024) examples from the cytogenetics and in situ hybridization chapters.  The Example Numbers in parentheses are for reference to this file and are not published in the ISCN.  The markup for underlining (<u></u>) has been retained and should not be used in the ISCN string.  Section numbers have been intercalated for easier location in the ISCN text.  For most efficient searching, pipe multiple instances of grep to identify the examples with particular patterns of interest.  For example, grep 'der' | grep 'ins' finds all examples of derivative chromosomes involving an insertion.'''


(Ex.1)	inv(Y)(p11.2q11.2)pat
(Ex.525)	44,X,-Y,der(13;14)(q10;q10)c[5]/45,XY,der(11)t(11;14)(q13;q32),der(13;14)(q10;q10)ct(11;14)[5]/45,XY,der(13;14)(q10;q10)c[5]
(Ex.526)	46,XY,t(2;15)(q21;q26.1)mat,der(6)t(6;17)(q23;q21),der(7;12)(p10;q10),+mar[cp3]/46,XY,t(2;15)mat[7]//46,XX,t(2;15)c[10]
7.2.2
(Ex.527)	ish 17p11.2(RAI1)x2
(Ex.528)	46,XX.ish X(DXZ1x2,SRYx0)
(Ex.529)	46,XY.ish X(DXZ1)x1,Y(SRY,DYZ3)x1
(Ex.530)	46,XY.ish 4p16.3(NSD2/D4S166)x2
(Ex.531)	46,XY.ish 22q11.2(D22S75)x2
(Ex.532)	46,XX.ish 17p11.2(RAI1)x2,21q22.13(D21S259/D21S341/D21S342)x2
(Ex.533)	46,XY.ish 13(D13Z1/D21Z1)x2,21(D13Z1/D21Z1)x2
(Ex.534)	ish 13(D13S319,LAMP1)x2[10]
(Ex.535)	46,XX[20].ish 13q14(D13S319)x2[10],14q32(IGH)x2[10],16q23(MAF)x2[10]
7.2.3
(Ex.536)	46,XX.ish del(7)(q11.23q11.23)(ELN-,D7S486/D7S522+)
(Ex.537)	46,XX.ish del(22)(q11.2q11.2)(D22S75-,ARSA+)
(Ex.538)	ish del(22)(q11.2q11.2)(N25-,ARSA+)
(Ex.539)	ish del(22)(q13.13q13.3 or q13.3)(D22S75+,ARSA-)
(Ex.540)	46,XX,ins(2)(p13q21q31).ish ins(2)(wcp2+)
(Ex.541)	46,XX.ish der(X)t(X;Y)(p22.?3;p11.?2)(SRY+,DXZ1+)
(Ex.542)	46,XX.ish der(X)ins(X;Y)(p22.?3;p11.?2p11.?2)(SRY+,DXZ1+) or der(X)t(X;Y)(p22.?3;p11.?2)(SRY+,DXZ1+)
(Ex.543)	46,XX.ish der(7)ins(7;Y)(q22;p11.?2p11.?2)(SRY+)
(Ex.544)	46,XX,t(2;17)(q32;q24)[20].ish t(2;17)(q32;q24.3)(AC005181+;AC005181+)[20]
(Ex.545)	47,XY,+mar.ish der(8)(D8Z2+)
(Ex.546)	46,XY.ishdup(17)(p11.2p11.2)(RAI1++)
(Ex.547)	46,XX[20].ish inv(21)(q11.2q22.1)(q11.2)(RUNX1+)(q22.1)(RUNX1-)[5]
(Ex.548)	ish del(22)(q11.2q11.2)(D22S75-,ARSA+),del(<u>22</u>)(q11.2q11.2)(D22S75-,ARSA+)
(Ex.549)	47,XX,+mar.ishmar(Acro-p+)
(Ex.550)	47,XY,+mar.ishmar(Acro-p+,Acro-p+)
(Ex.551)	46,XY,ins(5;2)(p14;q22q32).ish ins(5;2)(wcp2+;wcp2+)
(Ex.552)	46,XY,ins(5;2)(p14;q32q22).ish der(5)ins(5;2)(wcp2+)
(Ex.553)	46,XX,add(4)(q31).ish der(4)dup(4)(q31q3?4)(wcp4+)add(4)(q3?4)(wcp4-)
7.2.4
(Ex.554)	46,X,+r.ish r(X)(wcpX+,DXZ1+)
(Ex.555)	46,XX,dup(5)(p15.3p14).ishdup(5)(wcp5+,D5S721/D5S23+,D5S721/D5S23+)
(Ex.556)	46,XX,del(15)(q11.2q13).ish del(15)(SNRPN-,D15S10-)
(Ex.557)	46,XY.ish del(15)(q11.2q11.2)(SNRPN-,D15S10-)
(Ex.558)	47,XX,+mar.ishadd(16)(p?)(wcp16-,D16Z2+,wcp16+)
(Ex.559)	47,XY,+mar.ish der(17)(wcp17+,D17Z1+)
(Ex.560)	46,XX[20].ish ins(15;17)(q24.1;q21q21)(PML+,RARA+;RARA+)[5]
(Ex.561)	46,XX[20].ish t(12;21)(p13.2;q22.1)(RUNX1+,ETV6+;RUNX1+,ETV6+)[5]
(Ex.562)	47,XY,+der(4)t(4;11)(q21;q23),t(4;11)[20].ish der(4)(3'KMT2A+),t(4;11)(3'KMT2A+;5'KMT2A+,3'KMT2A-)[5]
(Ex.563)	46,XX,inv(16)(p13.1q22)[20].ish inv(16)(p13.1)(CBFB+,MYH11+)(q22)(CBFB+,MYH11+)[5]
(Ex.564)	46,XY,t(9;22)(q34;q11.2)[20].ish t(9;22)(ABL1-;BCR+,ABL1+)[5]
(Ex.565)	47,XY,t(9;22)(q34;q11.2),+der(22)t(9;22)[20].ish t(9;22)(ABL1-;BCR+,ABL1+),der(22)(BCR+,ABL1+)[5]
(Ex.566)	46,XX,t(9;22)(q34;q11.2)[10].ish t(9;22)(ABL1+,BCR+;BCR+,ABL1+)[5]
(Ex.567)	46,XX,t(9;22)(q34;q11.2)[20].ish der(9)t(9;22)del(9)(q34q34)(ABL1-,BCR+),der(22)t(9;22)(BCR+,ABL1+)[5]
(Ex.568)	46,XX,t(9;22)(q34;q11.2)[20].ish der(9)t(9;22)del(9)(q34q34)(ASS1-,ABL1-,BCR+),der(22)t(9;22)(BCR+,ABL1+)[5]
(Ex.569)	47,XX,t(9;22;10)(q34;q11.2;q22),+der(22)t(9;22;10)[20].ish der(9)t(9;22;10)del(9)(q34q34)(ABL1-),der(10)t(9;22;10)del(22)(q11.2q11.2)(BCR-),der(22)t(9;22;10)x2(BCR+,ABL1+)[5]
(Ex.570)	46,XX,t(9;22;10)(q34;q11.2;q22)[21].ish der(9)t(9;22;10)del(9)(q34q34)(wcp9+,ABL1-,wcp10+),der(10)t(9;22;10)del(22)(q11.2q11.2)(wcp10+,BCR-,wcp22+),der(22)t(9;22;10)(wcp22+,BCR+,ABL1+,wcp9+)[10]
(Ex.571)	46,X,?i(Y)(p10).ishidic(Y)(q11.?21)(SRY+,DYZ3+,DYZ1-,DYZ3+,SRY+)
(Ex.572)	46,XX,t(2;17)(q32;q24)[20].ish t(2;17)(q32;q24.3)(RP11-76G4+;RP11-134J16+,RP11-76G4-)[20]
(Ex.573)	45,XY,der(14;21)(q10;q10).ishdic(14;21)(p11.2;p11.2)(D14Z1/D22Z1+;D13Z1/D21Z1+)
(Ex.574)	47,XY,+mar.ish der(17)add(17)(p11.2)del(17)(q1?1.2)(wcp17-,wcp17+,CMT1A+,D17Z1+)
(Ex.575)	46,XY.ish del(15)(q11.2q12)(D15S11+,SNRPN-,D15S10-,GABRB3+)
(Ex.576)	46,X,r(X)(p22.3q22).ish r(X)(KAL1+,DXZ1+,XIST+,DXZ4-)
(Ex.577)	47,XX,+mar.ish der(18)t(18;19)(wcp18+,D18Z1+,wcp19+)
(Ex.578)	47,XY,+dic(15;15)(q11.1;q11.1).ishdic(15;15)(D15Z1+,D15Z4+,SNRPN-;SNRPN-,D15Z4+,D15Z1+)
(Ex.579)	46,XX,del(13)(q12q14)[20].ish 4p16.3(FGFR3)x2[10],del(13)(D13S319-)[10],14q32(IGH)x2[10]
(Ex.580)	46,XX.ish t(4;11)(p16.3;p15)(dj908H22+,CTC-36P21-,WHS+,D4Z1+;CTC-36P21+,dj908H22-)
(Ex.581)	46,XX.ish der(4)t(4;11)(p16.3;p15)(dj908H22+,CTC-36P21-,WHS+,D4Z1+)dmat
(Ex.582)	46,XX,add(4)(p16.3).ishdup(4)(wcp4+,RP11-1076P8+,WHS+,RP11-1076P8+,WHS+)
(Ex.583)	46,XX,add(4)(p16.3).ishdup(4)(wcp4+,RP11-1076P8+,WHS+,WHS+,RP11-1076P8+)
(Ex.584)	46,XX,t(6;11)(q23;q22).ish t(6;11)(RP4-609N19+,RP11-226I21-,RP11-469N6+;RP11-652O18+,RP11-469N6-,RP11-226I21+)
(Ex.585)	46,XX,t(14;18)(q32;q21)[20].ish t(14;18)(IGH+,BCL2+;BCL2+,IGH+)[20]/der(14)t(14;18)del(14)(q32)(IGH-,BCL2-),der(18)t(14;18)(BCL2+,IGH+)[10]
7.2.5
(Ex.586)	46,XX.ish 17p11.2(RAI1)enh
(Ex.587)	46,X,del(X)(p11.4p11.2).ish del(X)(p11.4p11.22)(RP11-265P11,RP1-112K5)dim
7.2.6.1
(Ex.588)	ish (subtel41)x2
(Ex.589)	ish 1p36.33(CEB108/T7)x2,4p16.3(GS10K2/T7)x2
7.2.6.2
(Ex.590)	ish t(13;20)(q34;p13)(163C9-,dj1061L1+;163C9+,dj1061L1-</span>)
(Ex.592)	ish der(13)t(13;20)(q34;p13)(163C9-,dj1061L1+)
(Ex.593)	46,XY,rec(4)dup(4p)inv(4)(p16.1q34)dmat.ish rec(4)dup(4p)(D4S3359+,D4S2930-,D4S3359+)
7.2.8
(Ex.594)	46,XX,?dup(18)(p11.3p11.2).ishdup(18)(pcp18p+)
(Ex.595)	46,XY,inv(8)(p21q13).ish inv(8)(pcp8p+,pcp8p+)
(Ex.596)	46,X,r(X)(p22.1q13).ish r(X)(pcpXp+,DXZ1+,pcpXq+,XIST+)
7.3.2
(Ex.597)	nuc ish (D21S259/D21S341/D21S342)x2
(Ex.598)	46,XY[20].nuc ish (TP53)x2[200]
(Ex.599)	nuc ish (ANOS1,D21S65)x2
(Ex.600)	nuc ish (ABL1,BCR)x2[200]
(Ex.601)	46,XY[20].ish 9q34(ABL1)x2,22q11.2(BCR)x2[20].nuc ish (ABL1,BCR)x2[100],(TP53)x2[200]
(Ex.602)	nuc ish (D17Z1,ERBB2)x2[100]
(Ex.603)	nuc ish (ETV6x2,RUNX1x3c)[200]
(Ex.604)	nuc ish (ATM,TP53)x2[200],(D12Z3,D13S319,LAMP1)x2[200]
7.3.3
(Ex.605)	nuc ish (D21S65)x3
(Ex.606)	nuc ish (DXZ1x3,SRYx0)
(Ex.607)	nuc ish (D20Z1x2,D20S108x1)[100/200]
(Ex.608)	nuc ish (D21S65,D21S64)x3
(Ex.609)	nuc ish (D13S319x0,LAMP1x2)[50/200]
(Ex.610)	nuc ish (STS,KAL1,DXZ1)x1
(Ex.611)	nuc ish (TP73x1,ANGPTLx2)[107/200],(ZNF443x2,GLTSCR1x1)[105/200]
(Ex.612)	nuc ish (ATM,TP53)x2[100],(D12Z3x3,D13S319x2,LAMP1x2)[50/100]
(Ex.613)	nuc ish (ATMx1,TP53x2)[100/200],(D12Z3x3,D13S319x2,LAMP1x2)[50/200]
(Ex.614)	nuc ish (DXZ1x1,DYZ3x1,D18Z1x2),(RB1x2,D21S259/D21S341/D21S342x3)[60/150]
7.3.3.1
(Ex.615)	nuc ish (DXZ1x1,DYZ3x0)[12/50]/(DXZ1x1,DYZ3x2)[6/50]/(DXZ1,DYZ3)x1[32/50]
(Ex.616)	nuc ish (D5S630,EGR1)x1[100/200]/(D5S630x2,EGR1x1)[50/200]
(Ex.617)	nuc ish (D5S630x2,EGR1x1)[150/250]/(D5S630,EGR1)x1[100/250]
(Ex.618)	nuc ish (D5S630,EGR1)x1[50/200]/(D5S630x2,EGR1x1)[50/200]
(Ex.619)	nuc ish (D5S630x2,EGR1x3)[50/200]/(D5S630,EGR1)x1[50/200]/(D5S630x2,EGR1x1)[50/200]
(Ex.620)	nuc ish (ATMx1,TP53x2)[100/200]/(ATMx2,TP53x1)[100/200]
(Ex.621)	nuc ish (D13S319x1,LAMP1x2)[55/200]/(D13S319x2,LAMP1x1)[55/200]
(Ex.622)	nuc ish (D13S319x0,LAMP1x2)[100/200]/(D13S319x1,LAMP1x2)[50/200]
(Ex.623)	nuc ish (D13S319x1,LAMP1x2)[100/200]/(D13S319x0,LAMP1x2)[100/200]
7.3.4.1
(Ex.624)	nuc ish (KAL1,STS)x2
7.3.4.1.2
(Ex.625)	nuc ish (KAL1,STS)x2(KAL1 sep STS)x1
7.3.4.2.1
(Ex.626)	nuc ish (ABL1,BCR)x2[200]
7.3.4.2.2
(Ex.627)	nuc ish (ABL1,BCR)x3(ABL1 con BCR)x2[200]
(Ex.628)	nuc ish (ABL1,BCR)x3(BCR con ABL1 con BCR)x1[100]
(Ex.629)	nuc ish (ABL1,BCR)x2(ABL1 con BCR)x1[100]
(Ex.630)	nuc ish (ABL1x2,BCRx3)(ABL1 con BCR)x1[100]
(Ex.631)	nuc ish (ABL1,BCR)x4(ABL1 con BCR)x3[200]
(Ex.632)	nuc ish (IGHx3,BCL2x2,BCL2amp)(IGH con BCL2)x1(IGH con BCL2amp)x1[200]
(Ex.633)	nuc ish (IGHx3,BCL2x2,BCL2amp)(IGH con BCL2)x2[180]
(Ex.634)	nuc ish (PAX7x1,PAX7amp,FOXO1x1,FOXO1amp)(PAX7 con FOXO1)amp[100]
(Ex.635)	nuc ish (3'BCL6x2,5'BCL6x1)(3'BCL6 con 5'BCL6)x1[77/100],(MYC)x3[80/100],(MYCx2~3,IGHx2~4)[100],(3'BCL2x2~3,5'BCL2x2)(3'BCL2 con 5'BCL2)x1[78/100]
(Ex.636)	nuc ish (MYH11,CBFB)x3(MYH11 con CBFB)x2[100/200]
(Ex.637)	nuc ish (ABL2)x2[200],(PDGFRB)x2[200],(ABL1,BCR)x3(ABL1 con BCR)x2[120/330]/(ABL1,BCR)x4(ABL1 con BCR)x3[120/330],(KMT2A)x2[200],(ETV6,RUNX1)x2[240],(IGH)x3[90/200],(TCF3)x2[150]
(Ex.638)	46,XY[20].ish 13q14(DLEU)x2</span>[10],13q34(LAMP1)x2</span>[10],14q32(IGH)x2</span>[6],16q23(MAF)x2</span>[6].nuc ish (DLEUx1,LAMP1x2)[17/200],(IGH,MAF)x3(IGH con MAF)x2[15/200]
7.3.4.3.1
(Ex.639)	nuc ish (KMT2A)x2[200]
(Ex.640)	nuc ish (CBFB)x2[200]
7.3.4.3.2
(Ex.641)	nuc ish (KMT2A)x2(5'KMT2A sep 3'KMT2A)x1[200]
(Ex.642)	nuc ish (5'KMT2Ax2,3'KMT2Ax1)(5'KMT2A con 3'KMT2A)x1[180]
(Ex.643)	nuc ish (3'ALKx2,5'ALKx1)(3'ALK con 5'ALK)x1[65/100]
(Ex.644)	nuc ish (3'IGHx0,5'IGHx2)[145/200]
(Ex.645)	nuc ish (3'DDIT3x2,5'DDIT3x1,5'DDIT3amp)x1(3'DDIT3 con 5'DDIT3)x1(3'DDIT3 con 5'DDIT3amp)x1[192/200]
(Ex.646)	nuc ish (3'IGHx2,5'IGHx3)(3'IGH con 5'IGH)x1[210/250]
(Ex.647)	nuc ish (CBFB)x2(5'CBFB sep 3'CBFB)x1[198]
(Ex.648)	nuc ish (CDKN2Cx2,CKS1Bx3)[90/100],(FGFR3x2,IGHx3)[93/100],(MYC)x2[100],(CCND1x2,IGHx3)[85/100],(ATM,TP53)x2[100],(IGH)x2(3'IGH sep 5'IGH)x1[95/100],(IGH,MAF)x3(IGH con MAF)x2[87/100],(IGHx3,MAFBx2)[91/100]
7.3.4.4.1
(Ex.649)	nuc ish (FIP1L1,CHIC2,PDGFRA)x2[200]
7.3.4.4.2
(Ex.650)	nuc ish (GOLIM4x1,MECOMx2,MYNNx2)[55/200]
(Ex.651)	nuc ish (GOLIM4x2,MECOMx3,MYNNx2)(GOLIM4/MECOM sep MECOM/MYNN)x1[35/100]
(Ex.652)	nuc ish (FIP1L1x2,CHIC2x1,PDGFRAx2)(FIP1L1 con PDGFRA)x1[150/200]
(Ex.653)	nuc ish (FIP1L1,CHIC2,PDGFRA)x2(FIP1L1/CHIC2 sep PDGFRA)x1[150/200]
7.3.4.4.3
(Ex.654)	nuc ish (ASS1,ABL1,BCR)x2[100]
7.3.4.4.4
(Ex.655)	nuc ish (ASS1x2,ABL1x3,BCRx3)(ASS1/ABL1 con BCR)x1(ABL1 con BCR)×1[90/100]
(Ex.656)	nuc ish (D8Z2x2,MYCx3,IGHx3)(MYC con IGH)x2[100/200],(IGHx3,BCL2x2)[100/200]
7.4
(Ex.657)	ish dmin(MYCN)x3~15[20]
(Ex.658)	ish 8q24(MYC)x>25[5]/8q24(MYC)x2[10] or ish 8q24(MYC)amp[5]/8q24(MYC)x2[10]
(Ex.659)	ish ider(21)(q10)dup(21)(q22q22)(RUNX1++,RUNX1++)[5]
(Ex.660)	ish ider(21)(q10)add(21)(q11.2)(RUNX1amp,RUNX1amp)[3]
(Ex.661)	ish der(21)(RUNX1)amp[4]
(Ex.662)	nuc ish (MYCN)x12~>20[200]
(Ex.663)	nuc ish (MYCN)amp[200]
(Ex.664)	nuc ish (D17Z1,ERBB2)x4~5[100/200]
(Ex.665)	nuc ish (D17Z1x2,ERBB2x10~20)[100/200]
(Ex.666)	nuc ish (D17Z1x2~3,ERBB2amp)[100/200]/(D17Z1,ERBB2)x3[20/200]
(Ex.667)	nuc ish (D17Z1,ERBB2)amp[156/200]/(D17Z1,ERBB2)x4[20/200]
7.5
(Ex.668)	ish 8(D8Z2)x3[20]/8(D8Z2)x2[30]
(Ex.669)	ish 8(D8Z2)x3[25]/8(D8Z2)x2[25].nuc ish (D8Z2)x3[52/100]
(Ex.670)	45,X[3]/46,XY[12].ish X(DXZ1x1,SRYx0)[32]/X(DXZ1)x1,Y(SRY)x1[68]
(Ex.671)	nuc ish (DXZ1x2,DYZ3x1,D18Z1x3),(RB1,D21S259/D21S341/D21S342)x3 or nuc ish (DXZ1x2,DYZ3x1,D18Z1x3),(RB1,D21S259)x3
7.6
(Ex.672)	nuc ish (DXZ1)x2[400]//
(Ex.673)	//nuc ish (DXZ1,DYZ3)x1[400]
(Ex.674)	nuc ish (DXZ1)x2[50]//(DXZ1,DYZ3)x1[350]
(Ex.675)	nuc ish (DXZ1)x2[50]/(DXZ1x1,DYZ3x0)[10]//(DXZ1,DYZ3)x1[300] or (DXZ1)x2[50]//(DXZ1,DYZ3)x1[300]/(DXZ1x1,DYZ3x0)[10]
(Ex.676)	mos 46,X,+r[15]/45,X[10].ish r(X)(wcpX+,DXZ1+)[10]
(Ex.677)	46,X,+r.ish r(X)(wcpX+,DXZ1+)[15]/r(X)(wcpX+,DXZ1+,DXZ1+)[10]
(Ex.678)	ish del(14)(q21.2q21.2)(RP11-453F20-)dn[6]/14q21.2(RP11-453F20)x2[4]
(Ex.679)	ish del(14)(q21.2q21.2)(RP11-453F20-)dn[16]/dup(14)(14q21.2q21.2)(RP11-453F20++)mat[4]
(Ex.680)	47,XX,+mar[10]/46,XX[20].ish der(15)(:p11.2-->q11.2:)(D15S11+,SNRPN+,D15S10-,GABRB3-)[5]/15q11.2q12(D15S11,SNRPN,D15S10,GABRB3)x2[20]
(Ex.681)	ish 21(D21S259/D21S341/D21S342)x3[20]/21(D21S259/D21S341/D21S342)x2[30]
(Ex.682)	nuc ish chi (DXZ1,DYZ3)x1[32/50]/(DXZ1)x2[18/50]
(Ex.683)	ish chi X(DXZ1)x2[5]/X(DXZ1)x1,Y(SRY)x1[5]
(Ex.684)	nuc ish (DXZ1x2,DYZ3x1,D18Z1x2)[150/200],(RB1x2,D21S270/D21S1425/D21S341x3)
(Ex.685)	mos 47,XY,+21[10]/46,XY[5].ish 21(D21S259/D21S341/D21S342)x3[15]/21(D21S259/D21S341/D21S342)x2[5].nuc ish (D21S259/D21S341/D21S342)x3[35/50]
(Ex.686)	mos 45,X[7]/47,XYY[5]/46,XY[8].ish X(DXZ1x1,SRYx0)[10]/X(DXZ1)x1,Y(SRY)x2[8]/X(DXZ1)x1,Y(SRY)x1[12].nuc ish (DXZ1x1,DYZ3x0)[12/50]/(DXZ1x1,DYZ3x2)[6/50]/(DXZ1,DYZ3)x1[32/50]
